E20260310 10:30:22.597600 139649024512000 main.cc:389] step    1/10 | train loss 5.336104 | lr 1.00e-04 | (215.39 ms | 1189 tok/s | peak used:  1890 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:22.640612 139649024512000 main.cc:389] step    2/10 | train loss 5.041608 | lr 1.00e-04 | (42.61 ms | 6008 tok/s | peak used:  1890 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:22.701420 139649024512000 main.cc:389] step    3/10 | train loss 4.865644 | lr 1.00e-04 | (60.75 ms | 4214 tok/s | peak used:  1890 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:22.761958 139649024512000 main.cc:389] step    4/10 | train loss 4.932191 | lr 1.00e-04 | (60.48 ms | 4233 tok/s | peak used:  1890 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:22.823015 139649024512000 main.cc:389] step    5/10 | train loss 4.907597 | lr 1.00e-04 | (61.00 ms | 4197 tok/s | peak used:  1890 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:22.883867 139649024512000 main.cc:389] step    6/10 | train loss 5.079184 | lr 1.00e-04 | (60.79 ms | 4211 tok/s | peak used:  1890 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:22.944119 139649024512000 main.cc:389] step    7/10 | train loss 4.846270 | lr 1.00e-04 | (60.19 ms | 4253 tok/s | peak used:  1890 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:23.004743 139649024512000 main.cc:389] step    8/10 | train loss 4.884549 | lr 1.00e-04 | (60.57 ms | 4227 tok/s | peak used:  1890 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:23.065803 139649024512000 main.cc:389] step    9/10 | train loss 5.108943 | lr 1.00e-04 | (61.00 ms | 4196 tok/s | peak used:  1890 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:23.126381 139649024512000 main.cc:389] step   10/10 | train loss 5.233387 | lr 1.00e-04 | (60.52 ms | 4230 tok/s | peak used:  1890 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
