E20260310 10:30:03.192280 140098296446976 main.cc:389] step    1/10 | train loss 5.315769 | lr 1.00e-04 | (277.87 ms | 921 tok/s | peak used:  1867 MB | peak reserved:  1888 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:03.288862 140098296446976 main.cc:389] step    2/10 | train loss nan | lr 1.00e-04 | (96.19 ms | 2661 tok/s | peak used:  1867 MB | peak reserved:  1952 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:03.358632 140098296446976 main.cc:389] step    3/10 | train loss nan | lr 1.00e-04 | (69.70 ms | 3673 tok/s | peak used:  1867 MB | peak reserved:  1952 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:03.430529 140098296446976 main.cc:389] step    4/10 | train loss nan | lr 1.00e-04 | (71.84 ms | 3564 tok/s | peak used:  1867 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:03.502708 140098296446976 main.cc:389] step    5/10 | train loss nan | lr 1.00e-04 | (72.11 ms | 3550 tok/s | peak used:  1867 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:03.580408 140098296446976 main.cc:389] step    6/10 | train loss nan | lr 1.00e-04 | (77.64 ms | 3297 tok/s | peak used:  1867 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:03.705084 140098296446976 main.cc:389] step    7/10 | train loss nan | lr 1.00e-04 | (124.61 ms | 2054 tok/s | peak used:  1867 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:03.796336 140098296446976 main.cc:389] step    8/10 | train loss nan | lr 1.00e-04 | (91.19 ms | 2807 tok/s | peak used:  1867 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:03.863155 140098296446976 main.cc:389] step    9/10 | train loss nan | lr 1.00e-04 | (66.75 ms | 3835 tok/s | peak used:  1867 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
E20260310 10:30:03.935518 140098296446976 main.cc:389] step   10/10 | train loss nan | lr 1.00e-04 | (72.30 ms | 3541 tok/s | peak used:  1867 MB | peak reserved:  1920 MB, DP=1, TP=1, SP=1, PP=1)
