E20260316 10:40:51.604126 139689692278784 main.cc:365] step    1/30 | train loss 4.950587 | lr 1.00e-05 | (10947.76 ms | 374 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:40:58.850349 139689692278784 main.cc:365] step    2/30 | train loss 4.175240 | lr 1.00e-05 | (7245.86 ms | 565 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:41:07.446521 139689692278784 main.cc:365] step    3/30 | train loss 3.976882 | lr 1.00e-05 | (8596.02 ms | 476 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:41:16.023424 139689692278784 main.cc:365] step    4/30 | train loss 3.672976 | lr 1.00e-05 | (8576.76 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:41:24.584045 139689692278784 main.cc:365] step    5/30 | train loss 3.642387 | lr 1.00e-05 | (8560.50 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:41:33.146204 139689692278784 main.cc:365] step    6/30 | train loss 3.340030 | lr 1.00e-05 | (8562.04 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:41:41.713916 139689692278784 main.cc:365] step    7/30 | train loss 3.349862 | lr 1.00e-05 | (8567.58 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:41:50.290840 139689692278784 main.cc:365] step    8/30 | train loss 3.305890 | lr 1.00e-05 | (8576.78 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:41:58.845358 139689692278784 main.cc:365] step    9/30 | train loss 3.447771 | lr 1.00e-05 | (8554.38 ms | 479 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:42:07.409894 139689692278784 main.cc:365] step   10/30 | train loss 3.361171 | lr 1.00e-05 | (8564.41 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:42:15.984505 139689692278784 main.cc:365] step   11/30 | train loss 3.370035 | lr 1.00e-05 | (8574.47 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:42:24.557395 139689692278784 main.cc:365] step   12/30 | train loss 3.193639 | lr 1.00e-05 | (8572.74 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:42:33.132996 139689692278784 main.cc:365] step   13/30 | train loss 3.253503 | lr 1.00e-05 | (8575.48 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:42:41.695868 139689692278784 main.cc:365] step   14/30 | train loss 3.433275 | lr 1.00e-05 | (8562.76 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:42:50.260008 139689692278784 main.cc:365] step   15/30 | train loss 3.302180 | lr 1.00e-05 | (8564.00 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:42:58.836454 139689692278784 main.cc:365] step   16/30 | train loss 3.445970 | lr 1.00e-05 | (8576.31 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:43:07.489309 139689692278784 main.cc:365] step   17/30 | train loss 3.319771 | lr 1.00e-05 | (8652.72 ms | 473 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:43:16.070878 139689692278784 main.cc:365] step   18/30 | train loss 3.323701 | lr 1.00e-05 | (8581.41 ms | 477 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:43:24.624878 139689692278784 main.cc:365] step   19/30 | train loss 3.268251 | lr 1.00e-05 | (8553.87 ms | 479 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:43:33.195605 139689692278784 main.cc:365] step   20/30 | train loss 3.155218 | lr 1.00e-05 | (8570.60 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:43:41.825552 139689692278784 main.cc:365] step   21/30 | train loss 3.116138 | lr 1.00e-05 | (8629.79 ms | 475 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:43:50.387681 139689692278784 main.cc:365] step   22/30 | train loss 3.212726 | lr 1.00e-05 | (8561.99 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:43:58.942620 139689692278784 main.cc:365] step   23/30 | train loss 3.386070 | lr 1.00e-05 | (8554.82 ms | 479 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:44:07.523933 139689692278784 main.cc:365] step   24/30 | train loss 3.339879 | lr 1.00e-05 | (8581.19 ms | 477 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:44:16.113418 139689692278784 main.cc:365] step   25/30 | train loss 3.145042 | lr 1.00e-05 | (8589.33 ms | 477 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:44:24.674685 139689692278784 main.cc:365] step   26/30 | train loss 3.172493 | lr 1.00e-05 | (8561.11 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:44:33.251526 139689692278784 main.cc:365] step   27/30 | train loss 3.116225 | lr 1.00e-05 | (8576.68 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:44:41.816380 139689692278784 main.cc:365] step   28/30 | train loss 3.088787 | lr 1.00e-05 | (8564.74 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:44:50.379594 139689692278784 main.cc:365] step   29/30 | train loss 3.049788 | lr 1.00e-05 | (8563.10 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:44:58.942328 139689692278784 main.cc:365] step   30/30 | train loss 3.162048 | lr 1.00e-05 | (8562.61 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
