E20260316 10:36:06.317871 140109053173760 main.cc:365] step    1/30 | train loss 4.458693 | lr 1.00e-05 | (13332.14 ms | 307 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:36:12.704150 140109053173760 main.cc:365] step    2/30 | train loss 3.941300 | lr 1.00e-05 | (6385.99 ms | 641 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:36:20.568235 140109053173760 main.cc:365] step    3/30 | train loss 3.711217 | lr 1.00e-05 | (7863.94 ms | 521 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:36:28.416248 140109053173760 main.cc:365] step    4/30 | train loss 3.455067 | lr 1.00e-05 | (7847.88 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:36:36.255586 140109053173760 main.cc:365] step    5/30 | train loss 3.442917 | lr 1.00e-05 | (7839.22 ms | 523 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:36:44.103130 140109053173760 main.cc:365] step    6/30 | train loss 3.240282 | lr 1.00e-05 | (7847.43 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:36:51.960442 140109053173760 main.cc:365] step    7/30 | train loss 3.270495 | lr 1.00e-05 | (7857.16 ms | 521 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:36:59.813590 140109053173760 main.cc:365] step    8/30 | train loss 3.212686 | lr 1.00e-05 | (7853.01 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:37:07.667317 140109053173760 main.cc:365] step    9/30 | train loss 3.334688 | lr 1.00e-05 | (7853.61 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:37:15.496999 140109053173760 main.cc:365] step   10/30 | train loss 3.325873 | lr 1.00e-05 | (7829.54 ms | 523 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:37:23.342151 140109053173760 main.cc:365] step   11/30 | train loss 3.280131 | lr 1.00e-05 | (7845.02 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:37:31.194028 140109053173760 main.cc:365] step   12/30 | train loss 3.133990 | lr 1.00e-05 | (7851.74 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:37:39.042411 140109053173760 main.cc:365] step   13/30 | train loss 3.212062 | lr 1.00e-05 | (7848.25 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:37:46.883198 140109053173760 main.cc:365] step   14/30 | train loss 3.379770 | lr 1.00e-05 | (7840.67 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:37:54.731798 140109053173760 main.cc:365] step   15/30 | train loss 3.296673 | lr 1.00e-05 | (7848.48 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
