layout,pipeline_parallel,micro_batches,elapsed_ms,tok_per_s,bubble_ratio,stage0_compute_ms,stage1_compute_ms,max_stage_compute_ms,stage_imbalance_ratio
uniform,2,4,202.07,633.0,0.2,262.85200000000003,171.50300000000001,262.85200000000003,1.532637913039422
custom,2,4,223.55,573.0,0.2,278.645,190.415,278.645,1.4633563532284746
