run,avg_ms_excl_step1,avg_tok_s_excl_step1,peak_used_mb,peak_reserved_mb,loss_step1
gpt2_baseline,30.50421052631579,8505.947368421053,1920.0,1952.0,11.028174
gpt2_flash,56.10894736842105,4570.210526315789,1868.0,1888.0,10.975237
llama3_baseline,212.06842105263158,1233.3157894736842,24595.0,24704.0,11.761782
llama3_flash,307.2763157894737,902.9473684210526,24595.0,24704.0,11.761782
