run,avg_ms_excl_step1,avg_tok_s_excl_step1,peak_used_mb,peak_reserved_mb,loss_step1
gpt2_baseline,28.06448275862069,9151.862068965518,1920.0,1952.0,10.989106
gpt2_flash,34.43448275862069,7507.6551724137935,1868.0,1888.0,10.946043
llama3_baseline,159.47689655172414,1605.7586206896551,24595.0,24704.0,11.761782
llama3_flash,168.43896551724137,1535.2758620689656,24595.0,24704.0,11.761782
