[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./gpt2 --input_bin /data/shared/InfiniTrain-dev/data/llmc/gpt2/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/gpt2/gpt2_124M.bin --device cuda --dtype bfloat16 --num_iteration 10 --batch_size 4 --sequence_length 64 --total_batch_size 256 --overfit_single_batch true --flash true
E20260315 22:10:46.944827 140162932879360 main.cc:389] step    1/10 | train loss 5.315769 | lr 1.00e-04 | (476.12 ms | 538 tok/s | peak used:  1867 MB | peak reserved:  1888 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:46.983176 140162932879360 main.cc:389] step    2/10 | train loss 5.035527 | lr 1.00e-04 | (37.90 ms | 6755 tok/s | peak used:  1867 MB | peak reserved:  2016 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:47.017777 140162932879360 main.cc:389] step    3/10 | train loss 4.874912 | lr 1.00e-04 | (34.52 ms | 7415 tok/s | peak used:  1867 MB | peak reserved:  2016 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:47.052250 140162932879360 main.cc:389] step    4/10 | train loss 4.932341 | lr 1.00e-04 | (34.41 ms | 7440 tok/s | peak used:  1867 MB | peak reserved:  2016 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:47.086891 140162932879360 main.cc:389] step    5/10 | train loss 4.903636 | lr 1.00e-04 | (34.57 ms | 7405 tok/s | peak used:  1867 MB | peak reserved:  2016 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:47.121706 140162932879360 main.cc:389] step    6/10 | train loss 5.074627 | lr 1.00e-04 | (34.74 ms | 7369 tok/s | peak used:  1867 MB | peak reserved:  2016 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:47.155876 140162932879360 main.cc:389] step    7/10 | train loss 4.831954 | lr 1.00e-04 | (34.11 ms | 7506 tok/s | peak used:  1867 MB | peak reserved:  2016 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:47.190095 140162932879360 main.cc:389] step    8/10 | train loss 4.888450 | lr 1.00e-04 | (34.15 ms | 7497 tok/s | peak used:  1867 MB | peak reserved:  2016 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:47.224352 140162932879360 main.cc:389] step    9/10 | train loss 5.097504 | lr 1.00e-04 | (34.19 ms | 7487 tok/s | peak used:  1867 MB | peak reserved:  2016 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:47.258466 140162932879360 main.cc:389] step   10/10 | train loss 5.223866 | lr 1.00e-04 | (34.05 ms | 7518 tok/s | peak used:  1867 MB | peak reserved:  2016 MB, DP=1, TP=1, SP=1, PP=1)
