[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./llama3 --input_bin /data/shared/InfiniTrain-dev/data/llmc/llama3/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/llama3/llama3.2_1B_fp32.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 4 --sequence_length 128 --total_batch_size 512 --overfit_single_batch true
E20260315 23:10:30.505417 140485146431488 main.cc:365] step    1/30 | train loss 4.537171 | lr 1.00e-05 | (2516.70 ms | 203 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:30.724713 140485146431488 main.cc:365] step    2/30 | train loss 4.388034 | lr 1.00e-05 | (219.01 ms | 2338 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:31.007522 140485146431488 main.cc:365] step    3/30 | train loss 4.099815 | lr 1.00e-05 | (282.71 ms | 1811 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:31.288994 140485146431488 main.cc:365] step    4/30 | train loss 3.903414 | lr 1.00e-05 | (281.38 ms | 1820 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:31.541213 140485146431488 main.cc:365] step    5/30 | train loss 3.677967 | lr 1.00e-05 | (252.16 ms | 2030 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:31.793634 140485146431488 main.cc:365] step    6/30 | train loss 3.852042 | lr 1.00e-05 | (252.34 ms | 2029 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:32.048634 140485146431488 main.cc:365] step    7/30 | train loss 3.551678 | lr 1.00e-05 | (254.92 ms | 2008 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:32.301255 140485146431488 main.cc:365] step    8/30 | train loss 3.589101 | lr 1.00e-05 | (252.51 ms | 2028 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:32.553485 140485146431488 main.cc:365] step    9/30 | train loss 3.507895 | lr 1.00e-05 | (252.17 ms | 2030 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:32.806100 140485146431488 main.cc:365] step   10/30 | train loss 3.818910 | lr 1.00e-05 | (252.55 ms | 2027 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:33.069609 140485146431488 main.cc:365] step   11/30 | train loss 3.960243 | lr 1.00e-05 | (263.45 ms | 1943 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:33.322799 140485146431488 main.cc:365] step   12/30 | train loss 4.018314 | lr 1.00e-05 | (253.12 ms | 2023 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:33.627531 140485146431488 main.cc:365] step   13/30 | train loss 3.672050 | lr 1.00e-05 | (304.66 ms | 1681 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:33.933581 140485146431488 main.cc:365] step   14/30 | train loss 3.721536 | lr 1.00e-05 | (305.97 ms | 1673 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:34.240679 140485146431488 main.cc:365] step   15/30 | train loss 3.595264 | lr 1.00e-05 | (307.00 ms | 1668 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:34.520987 140485146431488 main.cc:365] step   16/30 | train loss 3.256258 | lr 1.00e-05 | (280.22 ms | 1827 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:34.773277 140485146431488 main.cc:365] step   17/30 | train loss 3.558509 | lr 1.00e-05 | (252.22 ms | 2030 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:35.029458 140485146431488 main.cc:365] step   18/30 | train loss 3.797002 | lr 1.00e-05 | (256.11 ms | 1999 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:35.281638 140485146431488 main.cc:365] step   19/30 | train loss 3.683383 | lr 1.00e-05 | (252.09 ms | 2031 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:35.538029 140485146431488 main.cc:365] step   20/30 | train loss 3.543360 | lr 1.00e-05 | (256.31 ms | 1998 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:35.790147 140485146431488 main.cc:365] step   21/30 | train loss 3.545309 | lr 1.00e-05 | (252.04 ms | 2031 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:36.042529 140485146431488 main.cc:365] step   22/30 | train loss 3.689647 | lr 1.00e-05 | (252.32 ms | 2029 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:36.294778 140485146431488 main.cc:365] step   23/30 | train loss 3.725034 | lr 1.00e-05 | (252.18 ms | 2030 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:36.577132 140485146431488 main.cc:365] step   24/30 | train loss 3.365885 | lr 1.00e-05 | (282.29 ms | 1814 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:36.884741 140485146431488 main.cc:365] step   25/30 | train loss 3.600138 | lr 1.00e-05 | (307.53 ms | 1665 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:10:37.192396 140485146431488 main.cc:365] step   26/30 | train loss 3.455275 | lr 1.00e-05 | (307.57 ms | 1665 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
