E20260316 12:39:40.709213 140571206828032 main.cc:388] step    1/20 | train loss 10.989240 | lr 1.00e-04 | (2399.81 ms | 853 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:41.917248 140571206828032 main.cc:388] step    2/20 | train loss 10.992273 | lr 1.00e-04 | (1207.09 ms | 1697 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:43.134934 140571206828032 main.cc:388] step    3/20 | train loss 11.019492 | lr 1.00e-04 | (1217.55 ms | 1682 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:44.484855 140571206828032 main.cc:388] step    4/20 | train loss 10.979045 | lr 1.00e-04 | (1349.80 ms | 1517 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:45.831240 140571206828032 main.cc:388] step    5/20 | train loss 10.993272 | lr 1.00e-04 | (1346.27 ms | 1521 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:47.181034 140571206828032 main.cc:388] step    6/20 | train loss 10.995609 | lr 1.00e-04 | (1349.34 ms | 1518 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:48.532315 140571206828032 main.cc:388] step    7/20 | train loss 10.981981 | lr 1.00e-04 | (1350.82 ms | 1516 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:49.882738 140571206828032 main.cc:388] step    8/20 | train loss 10.993075 | lr 1.00e-04 | (1350.33 ms | 1517 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:51.232543 140571206828032 main.cc:388] step    9/20 | train loss 10.984570 | lr 1.00e-04 | (1349.69 ms | 1517 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:52.582981 140571206828032 main.cc:388] step   10/20 | train loss 10.981663 | lr 1.00e-04 | (1350.31 ms | 1517 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:53.932794 140571206828032 main.cc:388] step   11/20 | train loss 10.987828 | lr 1.00e-04 | (1349.70 ms | 1517 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:55.282882 140571206828032 main.cc:388] step   12/20 | train loss 10.994374 | lr 1.00e-04 | (1349.59 ms | 1517 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:56.634321 140571206828032 main.cc:388] step   13/20 | train loss 10.975692 | lr 1.00e-04 | (1350.92 ms | 1516 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:57.968744 140571206828032 main.cc:388] step   14/20 | train loss 10.982143 | lr 1.00e-04 | (1333.95 ms | 1535 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:59.319703 140571206828032 main.cc:388] step   15/20 | train loss 10.972327 | lr 1.00e-04 | (1350.85 ms | 1516 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:40:00.670252 140571206828032 main.cc:388] step   16/20 | train loss 10.973260 | lr 1.00e-04 | (1350.44 ms | 1517 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:40:02.019433 140571206828032 main.cc:388] step   17/20 | train loss 10.979569 | lr 1.00e-04 | (1349.05 ms | 1518 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:40:03.369825 140571206828032 main.cc:388] step   18/20 | train loss 10.988028 | lr 1.00e-04 | (1350.28 ms | 1517 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:40:04.717107 140571206828032 main.cc:388] step   19/20 | train loss 10.996418 | lr 1.00e-04 | (1346.84 ms | 1521 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:40:06.067290 140571206828032 main.cc:388] step   20/20 | train loss 10.991707 | lr 1.00e-04 | (1350.05 ms | 1517 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
