E20260316 03:01:41.724582 140196242415616 main.cc:388] step    1/20 | train loss 10.986121 | lr 1.00e-04 | (1660.92 ms | 2466 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:01:43.080958 140196242415616 main.cc:388] step    2/20 | train loss 10.995635 | lr 1.00e-04 | (1347.62 ms | 3039 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:01:44.571214 140196242415616 main.cc:388] step    3/20 | train loss 10.968960 | lr 1.00e-04 | (1490.13 ms | 2749 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:01:46.045886 140196242415616 main.cc:388] step    4/20 | train loss 10.984892 | lr 1.00e-04 | (1474.19 ms | 2778 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:01:47.530878 140196242415616 main.cc:388] step    5/20 | train loss 10.993450 | lr 1.00e-04 | (1484.55 ms | 2759 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:01:49.002988 140196242415616 main.cc:388] step    6/20 | train loss 10.991555 | lr 1.00e-04 | (1471.56 ms | 2783 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:01:50.486078 140196242415616 main.cc:388] step    7/20 | train loss 10.980328 | lr 1.00e-04 | (1482.95 ms | 2762 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:01:51.960966 140196242415616 main.cc:388] step    8/20 | train loss 10.985272 | lr 1.00e-04 | (1474.42 ms | 2778 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:01:53.436053 140196242415616 main.cc:388] step    9/20 | train loss 10.993078 | lr 1.00e-04 | (1474.70 ms | 2778 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:01:54.900225 140196242415616 main.cc:388] step   10/20 | train loss 10.964961 | lr 1.00e-04 | (1464.04 ms | 2798 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:01:56.383569 140196242415616 main.cc:388] step   11/20 | train loss 10.958186 | lr 1.00e-04 | (1483.19 ms | 2762 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:01:57.857300 140196242415616 main.cc:388] step   12/20 | train loss 10.965751 | lr 1.00e-04 | (1473.59 ms | 2780 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:01:59.340059 140196242415616 main.cc:388] step   13/20 | train loss 10.976093 | lr 1.00e-04 | (1482.63 ms | 2763 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:02:00.812401 140196242415616 main.cc:388] step   14/20 | train loss 10.967958 | lr 1.00e-04 | (1472.21 ms | 2782 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:02:02.294883 140196242415616 main.cc:388] step   15/20 | train loss 10.963700 | lr 1.00e-04 | (1482.37 ms | 2763 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:02:03.767692 140196242415616 main.cc:388] step   16/20 | train loss 10.974992 | lr 1.00e-04 | (1472.69 ms | 2781 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:02:05.242077 140196242415616 main.cc:388] step   17/20 | train loss 10.976635 | lr 1.00e-04 | (1474.26 ms | 2778 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:02:06.724222 140196242415616 main.cc:388] step   18/20 | train loss 10.951536 | lr 1.00e-04 | (1482.04 ms | 2764 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:02:08.196626 140196242415616 main.cc:388] step   19/20 | train loss 10.967639 | lr 1.00e-04 | (1472.29 ms | 2782 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 03:02:09.679259 140196242415616 main.cc:388] step   20/20 | train loss 10.973802 | lr 1.00e-04 | (1482.52 ms | 2763 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
