E20260316 02:30:20.348788 140109747630080 main.cc:388] step    1/20 | train loss 11.034567 | lr 1.00e-04 | (5379.94 ms | 761 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:21.830627 140109747630080 main.cc:388] step    2/20 | train loss 11.028904 | lr 1.00e-04 | (1480.90 ms | 2766 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:23.321957 140109747630080 main.cc:388] step    3/20 | train loss 11.045917 | lr 1.00e-04 | (1490.84 ms | 2747 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:24.804073 140109747630080 main.cc:388] step    4/20 | train loss 11.025148 | lr 1.00e-04 | (1481.64 ms | 2765 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:26.287801 140109747630080 main.cc:388] step    5/20 | train loss 11.031141 | lr 1.00e-04 | (1483.19 ms | 2762 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:27.776838 140109747630080 main.cc:388] step    6/20 | train loss 11.030892 | lr 1.00e-04 | (1488.47 ms | 2752 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:29.260211 140109747630080 main.cc:388] step    7/20 | train loss 11.034086 | lr 1.00e-04 | (1482.87 ms | 2762 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:30.750982 140109747630080 main.cc:388] step    8/20 | train loss 11.054636 | lr 1.00e-04 | (1490.62 ms | 2748 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:32.225686 140109747630080 main.cc:388] step    9/20 | train loss 11.036798 | lr 1.00e-04 | (1474.19 ms | 2778 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:33.709195 140109747630080 main.cc:388] step   10/20 | train loss 11.033263 | lr 1.00e-04 | (1483.08 ms | 2762 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:35.184952 140109747630080 main.cc:388] step   11/20 | train loss 11.033190 | lr 1.00e-04 | (1475.28 ms | 2776 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:36.665195 140109747630080 main.cc:388] step   12/20 | train loss 11.021470 | lr 1.00e-04 | (1480.08 ms | 2767 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:38.149001 140109747630080 main.cc:388] step   13/20 | train loss 11.040202 | lr 1.00e-04 | (1483.66 ms | 2761 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:39.631419 140109747630080 main.cc:388] step   14/20 | train loss 11.011843 | lr 1.00e-04 | (1481.90 ms | 2764 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:41.114778 140109747630080 main.cc:388] step   15/20 | train loss 11.042741 | lr 1.00e-04 | (1482.85 ms | 2762 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:42.596433 140109747630080 main.cc:388] step   16/20 | train loss 11.027793 | lr 1.00e-04 | (1481.09 ms | 2766 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:44.079025 140109747630080 main.cc:388] step   17/20 | train loss 11.038320 | lr 1.00e-04 | (1482.45 ms | 2763 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:45.561161 140109747630080 main.cc:388] step   18/20 | train loss 11.043950 | lr 1.00e-04 | (1481.98 ms | 2764 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:47.035741 140109747630080 main.cc:388] step   19/20 | train loss 11.035556 | lr 1.00e-04 | (1474.42 ms | 2778 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 02:30:48.517609 140109747630080 main.cc:388] step   20/20 | train loss 11.037246 | lr 1.00e-04 | (1481.40 ms | 2765 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
