E20260316 12:39:42.754639 140193308651520 main.cc:388] step    1/20 | train loss 11.034763 | lr 1.00e-04 | (4364.25 ms | 469 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:43.692577 140193308651520 main.cc:388] step    2/20 | train loss 11.010324 | lr 1.00e-04 | (937.30 ms | 2185 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:45.061998 140193308651520 main.cc:388] step    3/20 | train loss 11.004827 | lr 1.00e-04 | (1369.32 ms | 1496 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:46.388965 140193308651520 main.cc:388] step    4/20 | train loss 10.982925 | lr 1.00e-04 | (1326.87 ms | 1543 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:47.723498 140193308651520 main.cc:388] step    5/20 | train loss 11.010561 | lr 1.00e-04 | (1334.43 ms | 1535 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:49.058381 140193308651520 main.cc:388] step    6/20 | train loss 11.010492 | lr 1.00e-04 | (1334.78 ms | 1534 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:50.393010 140193308651520 main.cc:388] step    7/20 | train loss 10.995673 | lr 1.00e-04 | (1334.53 ms | 1535 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:51.725793 140193308651520 main.cc:388] step    8/20 | train loss 11.000650 | lr 1.00e-04 | (1332.67 ms | 1537 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:53.061350 140193308651520 main.cc:388] step    9/20 | train loss 10.999564 | lr 1.00e-04 | (1335.43 ms | 1534 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:54.394907 140193308651520 main.cc:388] step   10/20 | train loss 10.993823 | lr 1.00e-04 | (1333.11 ms | 1536 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:55.729448 140193308651520 main.cc:388] step   11/20 | train loss 11.001442 | lr 1.00e-04 | (1334.42 ms | 1535 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:57.064296 140193308651520 main.cc:388] step   12/20 | train loss 11.004734 | lr 1.00e-04 | (1334.37 ms | 1535 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:58.415716 140193308651520 main.cc:388] step   13/20 | train loss 10.988743 | lr 1.00e-04 | (1351.32 ms | 1516 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:39:59.750081 140193308651520 main.cc:388] step   14/20 | train loss 11.006196 | lr 1.00e-04 | (1334.26 ms | 1535 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:40:01.084641 140193308651520 main.cc:388] step   15/20 | train loss 10.991070 | lr 1.00e-04 | (1334.46 ms | 1535 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:40:02.417145 140193308651520 main.cc:388] step   16/20 | train loss 10.994187 | lr 1.00e-04 | (1332.39 ms | 1537 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:40:03.752831 140193308651520 main.cc:388] step   17/20 | train loss 10.985218 | lr 1.00e-04 | (1335.57 ms | 1533 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:40:05.086669 140193308651520 main.cc:388] step   18/20 | train loss 10.976975 | lr 1.00e-04 | (1333.70 ms | 1536 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:40:06.450930 140193308651520 main.cc:388] step   19/20 | train loss 11.005529 | lr 1.00e-04 | (1364.16 ms | 1501 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:40:07.609325 140193308651520 main.cc:388] step   20/20 | train loss 10.974436 | lr 1.00e-04 | (1158.25 ms | 1768 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
