[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./llama3 --input_bin /data/shared/InfiniTrain-dev/data/llmc/llama3/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/llama3/llama3.2_1B_fp32.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 4 --sequence_length 512 --total_batch_size 2048 --overfit_single_batch true --flash true
E20260316 09:28:00.693475 140508966854656 main.cc:365] step    1/30 | train loss 4.275531 | lr 1.00e-05 | (5386.35 ms | 380 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:04.559127 140508966854656 main.cc:365] step    2/30 | train loss 3.938678 | lr 1.00e-05 | (3865.27 ms | 530 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:08.452649 140508966854656 main.cc:365] step    3/30 | train loss 3.823652 | lr 1.00e-05 | (3893.39 ms | 526 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:12.339605 140508966854656 main.cc:365] step    4/30 | train loss 3.521151 | lr 1.00e-05 | (3886.79 ms | 527 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:16.231373 140508966854656 main.cc:365] step    5/30 | train loss 3.529245 | lr 1.00e-05 | (3891.65 ms | 526 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:20.096092 140508966854656 main.cc:365] step    6/30 | train loss 3.281229 | lr 1.00e-05 | (3864.62 ms | 530 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:23.961494 140508966854656 main.cc:365] step    7/30 | train loss 3.214393 | lr 1.00e-05 | (3865.25 ms | 530 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:27.820258 140508966854656 main.cc:365] step    8/30 | train loss 3.157633 | lr 1.00e-05 | (3858.58 ms | 531 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:31.677727 140508966854656 main.cc:365] step    9/30 | train loss 3.307989 | lr 1.00e-05 | (3857.34 ms | 531 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:35.533843 140508966854656 main.cc:365] step   10/30 | train loss 3.671444 | lr 1.00e-05 | (3855.99 ms | 531 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:39.400640 140508966854656 main.cc:365] step   11/30 | train loss 3.138348 | lr 1.00e-05 | (3866.61 ms | 530 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:43.273545 140508966854656 main.cc:365] step   12/30 | train loss 3.165001 | lr 1.00e-05 | (3872.77 ms | 529 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:47.148880 140508966854656 main.cc:365] step   13/30 | train loss 3.285898 | lr 1.00e-05 | (3875.16 ms | 528 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:51.023992 140508966854656 main.cc:365] step   14/30 | train loss 3.219869 | lr 1.00e-05 | (3874.98 ms | 529 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:54.889340 140508966854656 main.cc:365] step   15/30 | train loss 3.111331 | lr 1.00e-05 | (3865.22 ms | 530 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:28:58.756088 140508966854656 main.cc:365] step   16/30 | train loss 3.180943 | lr 1.00e-05 | (3866.62 ms | 530 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:29:02.647683 140508966854656 main.cc:365] step   17/30 | train loss 3.112091 | lr 1.00e-05 | (3891.46 ms | 526 tok/s | peak used: 35429 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:29:06.504287 140508966854656 main.cc:365] step   18/30 | train loss 3.490166 | lr 1.00e-05 | (3856.48 ms | 531 tok/s | peak used: 35429 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
